164,Sherlock Holmes: Gra cieni,Sherlock Holmes: A Game of Shadows,http://www.filmweb.pl/film/Sherlock+Holmes%3A+Gra+cieni-2011-556864,2011,76,175385,57434,0000002211,271772,75,Sherlock Holmes: A Game of Shadows,2011
165,Dzień Niepodległości,Independence Day,http://www.filmweb.pl/film/Dzie%C5%84+Niepodleg%C5%82o%C5%9Bci-1996-5289,1996,73,173851,30842,0000012200,359866,69,Independence Day,1996
166,Ratatuj,Ratatouille,http://www.filmweb.pl/Ratatuj,2007,72,173633,52945,0000001221,376859,80,Ratatouille,2007
167,Katyń,,http://www.filmweb.pl/Katyn,2007,68,173645,33805,0000012201,11288,70,Katyn,2007
168,Ojciec chrzestny II,The Godfather: Part II,http://www.filmweb.pl/2.Ojciec.Chrzestny,1974,85,171197,66680,0000000124,622239,91,The Godfather: Part II,1974
169,Constantine,,http://www.filmweb.pl/Constantine,2005,74,172306,13623,0000012201,198844,69,Constantine,2005
170,Hobbit: Pustkowie Smauga,The Hobbit: The Desolation of Smaug,http://www.filmweb.pl/film/Hobbit%3A+Pustkowie+Smauga-2013-469867,2013,78,168679,67237,0000001222,362565,80,The Hobbit: The Desolation of Smaug,2013
171,Gwiezdne wojny: Część I - Mroczne widmo,Star Wars: Episode I - The Phantom Menace,http://www.filmweb.pl/Mroczne.Widmo,1999,74,169454,60091,0000012101,414721,66,Star Wars: Episode I - The Phantom Menace,1999
172,Dystrykt 9,District 9,http://www.filmweb.pl/film/Dystrykt+9-2009-464478,2009,71,171066,17776,0000001221,455075,80,District 9,2009
173,Harry Potter i Książę Półkrwi,Harry Potter and the Half-Blood Prince,http://www.filmweb.pl/film/Harry+Potter+i+Ksi%C4%85%C5%BC%C4%99+P%C3%B3%C5%82krwi-2009-142402,2009,74,169624,26917,0000012211,257143,75,Harry Potter and the Half-Blood Prince,2009
174,Dirty Dancing,,http://www.filmweb.pl/film/Dirty+Dancing-1987-11726,1987,74,169287,17667,0000012101,116357,68,Dirty Dancing,1987
175,"Job, czyli ostatnia szara komórka",,http://www.filmweb.pl/Job.Ostatnia.Szara.Komorka,2006,60,168937,32576,0011111000,636,48,"Job, czyli ostatnia szara komórka",2006
