filmweb_id,title,title_original,filmweb_url,year,rating,vote_count,imdb_id,vote_distribution,vote_count,rating,title,year
94,Stowarzyszenie Umarłych Poetów,Dead Poets Society,http://www.filmweb.pl/Stowarzyszenie.Umarlych.Poetow,1989,78,227181
95,Co gryzie Gilberta Grape'a,What's Eating Gilbert Grape,http://www.filmweb.pl/Co.Gryzie.Gilberta.Grapea,1993,78,225292
96,Infiltracja,The Departed,http://www.filmweb.pl/Infiltracja,2006,80,222058
97,Uprowadzona,Taken,http://www.filmweb.pl/film/Uprowadzona-2008-401089,2008,77,221128
98,Więzień nienawiści,American History X,http://www.filmweb.pl/Wiezien.Nienawisci,1998,82,220809
99,Iron Man,,http://www.filmweb.pl/Iron.Man,2008,76,221070
100,Wojna światów,War of the Worlds,http://www.filmweb.pl/Wojna.Swiatow,2005,62,218889
101,1408,,http://www.filmweb.pl/1408,2007,68,217667
102,Kac Vegas w Bangkoku,The Hangover Part II,http://www.filmweb.pl/film/Kac+Vegas+w+Bangkoku-2011-519960,2011,70,216159
103,Za wszelką cenę,Million Dollar Baby,http://www.filmweb.pl/Za.Wszelka.Cene,2004,77,215163
104,V jak vendetta,V for Vendetta,http://www.filmweb.pl/V.Jak.Vendetta,2005,74,214068
105,Igrzyska śmierci,The Hunger Games,http://www.filmweb.pl/film/Igrzyska+%C5%9Bmierci-2012-504776,2012,71,209180
106,Faceci w czerni,Men in Black,http://www.filmweb.pl/film/Faceci+w+czerni-1997-5507,1997,71,212486
107,Transporter,The Transporter,http://www.filmweb.pl/Transporter,2002,73,212039
108,Straszny film,Scary Movie,http://www.filmweb.pl/film/Straszny+film-2000-1416,2000,63,209821
109,Pamiętnik,The Notebook,http://www.filmweb.pl/Pamietnik,2004,81,204928
110,Sala samobójców,,http://www.filmweb.pl/film/Sala+samob%C3%B3jc%C3%B3w-2011-539509,2011,66,206412
111,Sin City - Miasto grzechu,Sin City,http://www.filmweb.pl/Sin.City,2005,75,205926
112,Marzyciel,Finding Neverland,http://www.filmweb.pl/Marzyciel,2004,76,204689
113,Jak zostać królem,The King's Speech,http://www.filmweb.pl/film/Jak+zosta%C4%87+kr%C3%B3lem-2010-539270,2010,78,202938
114,"Obcy - 8. pasażer ""Nostromo""",Alien,http://www.filmweb.pl/Obcy,1979,79,200165
