Za wszelką cenę,Million Dollar Baby,http://www.filmweb.pl/Za.Wszelka.Cene,2004,77,215163
V jak vendetta,V for Vendetta,http://www.filmweb.pl/V.Jak.Vendetta,2005,74,214068
Igrzyska śmierci,The Hunger Games,http://www.filmweb.pl/film/Igrzyska+%C5%9Bmierci-2012-504776,2012,71,209180
Faceci w czerni,Men in Black,http://www.filmweb.pl/film/Faceci+w+czerni-1997-5507,1997,71,212486
Transporter,The Transporter,http://www.filmweb.pl/Transporter,2002,73,212039
Straszny film,Scary Movie,http://www.filmweb.pl/film/Straszny+film-2000-1416,2000,63,209821
Pamiętnik,The Notebook,http://www.filmweb.pl/Pamietnik,2004,81,204928
Sala samobójców,,http://www.filmweb.pl/film/Sala+samob%C3%B3jc%C3%B3w-2011-539509,2011,66,206412
Sin City - Miasto grzechu,Sin City,http://www.filmweb.pl/Sin.City,2005,75,205926
Marzyciel,Finding Neverland,http://www.filmweb.pl/Marzyciel,2004,76,204689
Jak zostać królem,The King's Speech,http://www.filmweb.pl/film/Jak+zosta%C4%87+kr%C3%B3lem-2010-539270,2010,78,202938
"Obcy - 8. pasażer ""Nostromo""",Alien,http://www.filmweb.pl/Obcy,1979,79,200165
Terminator 2: Dzień sądu,Terminator 2: Judgment Day,http://www.filmweb.pl/2.Terminator,1991,75,200031
"Ja, robot","I, Robot",http://www.filmweb.pl/Ja.Robot,2004,72,199134
"Opowieści z Narnii: Lew, czarownica i stara szafa","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",http://www.filmweb.pl/Opowiesci.Z.Narnii.Lew.Czarownica.I.Stara.Szafa,2005,70,196912
Poszukiwacze zaginionej Arki,Raiders of the Lost Ark,http://www.filmweb.pl/Poszukiwacze.Zaginionej.Arki,1981,77,194996
Wilk z Wall Street,The Wolf of Wall Street,http://www.filmweb.pl/film/Wilk+z+Wall+Street-2013-426597,2013,77,194535
Terminator,The Terminator,http://www.filmweb.pl/Terminator,1984,73,196805
Dziennik Bridget Jones,Bridget Jones's Diary,http://www.filmweb.pl/Dziennik.Bridget.Jones,2001,69,195276
Krwawy diament,Blood Diamond,http://www.filmweb.pl/Krwawy.Diament,2006,75,197256
Shrek 2,,http://www.filmweb.pl/2.Shrek,2004,73,196310
Mgła,The Mist,http://www.filmweb.pl/2007.Mgla,2007,58,195070
Sekretne okno,Secret Window,http://www.filmweb.pl/Sekretne.Okno,2004,71,193992
Jestem Bogiem,Limitless,http://www.filmweb.pl/film/Jestem+Bogiem-2011-548252,2011,76,193072
Amelia,Le fabuleux destin d'Amélie Poulain,http://www.filmweb.pl/Amelia,2001,76,191491
2012,,http://www.filmweb.pl/2012,2009,63,190635
Ostatni samuraj,The Last Samurai,http://www.filmweb.pl/Ostatni.Samuraj,2003,76,189511
Harry Potter i Insygnia Śmierci: Część II,Harry Potter and the Deathly Hallows: Part 2,http://www.filmweb.pl/film/Harry+Potter+i+Insygnia+%C5%9Amierci%3A+Cz%C4%99%C5%9B%C4%87+II-2011-476021,2011,77,188372
Piraci z Karaibów: Na nieznanych wodach,Pirates of the Caribbean: On Stranger Tides,http://www.filmweb.pl/film/Piraci+z+Karaib%C3%B3w%3A+Na+nieznanych+wodach-2011-491118,2011,74,188564
