Daleka północ,North Country,2005,74,7414
Szalony rok,Daydream Nation,2010,65,7405
Koń wodny: Legenda głębin,The Water Horse,2007,66,7399
Król Skorpion 2: Narodziny wojownika,The Scorpion King 2: Rise of a Warrior,2008,53,7408
Kocurek,Tomcats,2001,63,7404
Niewinni czarodzieje,,1960,79,7388
Klatka dla ptaków,The Birdcage,1996,73,7392
Nic osobistego,Nothing Personal,2009,73,7397
Habemus papam - mamy papieża,Habemus Papam,2011,61,7390
Komandosi z Navarony,Force 10 from Navarone,1978,72,7396
London,,2005,69,7389
Cztery lwy,Four Lions,2010,67,7375
Spotkanie,The Visitor,2007,74,7348
Królowie Dogtown,Lords of Dogtown,2005,77,7370
Cisza,,2010,67,7365
Vince niepokonany,Invincible,2006,75,7366
Że życie ma sens,,2000,74,7342
Wesele w Sorrento,Den Skaldede frisør,2012,62,7301
Pierwszy raz,Love at First Hiccup,2009,58,7338
Ptasie sprawki,For the Birds,2000,74,7321
Miłość i inne komplikacje,Love and Other Impossible Pursuits,2009,69,7326
Przeboje i podboje,High Fidelity,2000,69,7330
"Marcelino, chleb i wino",Marcellino,1991,57,7331
Edukatorzy,Die Fetten Jahre Sind Vorbei,2004,72,7325
Kongo,Congo,1995,57,7312
Grbavica,,2006,72,7311
Babe - świnka w mieście,Babe: Pig in the City,1998,58,7311
Dziedzic maski,Son of the Mask,2005,36,7309
Kłopoty z blondynką,My Sassy Girl,2008,67,7314
Wrobiony,Erased,2012,63,7303
Piraci,Pirates,1986,70,7295
Zawrócony,,1994,75,7280
Ślepa furia,Blind Fury,1989,69,7295
Świadek oskarżenia,Witness for the Prosecution,1957,82,7283
1941,,1979,71,7280
Na nabrzeżach,On the Waterfront,1954,77,7299
Co za życie,Life or Something Like It,2002,66,7293
Sekrety i grzeszki,The Dilemma,2011,58,7296
Księga Diny,I Am Dina,2002,72,7291
Narodziny legendy: Ip Man,Yip Man chinchyun,2010,73,7276
Droga sławy,Glory Road,2006,79,7285
Kroniki mutantów,Mutant Chronicles,2008,51,7281
Mama i ja,The Guilt Trip,2012,55,7277
Nasz brat idiota,Our Idiot Brother,2011,64,7278
Joe Dirt,,2001,61,7283
Następny jesteś ty,You're Next,2011,55,7310
Dzieci kukurydzy,Children of the Corn,1984,60,7276
Edison,,2005,62,7272
"Biegnij, chłopcze, biegnij","Lauf, Junge, lauf",2013,68,7108
Cudowni chłopcy,Wonder Boys,2000,72,7257
Ten pierwszy raz,Never Been Kissed,1999,61,7260
Albert Nobbs,,2011,68,7264
Zdrajca,Traitor,2008,70,7258
Najlepsi z najlepszych,Best of the Best,1989,74,7245
Sissi - losy cesarzowej,Sissi - Schicksalsjahre einer Kaiserin,1957,75,7249
Najczarniejsza godzina 3D,The Darkest Hour,2011,47,7250
Aladyn i król złodziei,Aladdin and the King of Thieves,1995,72,7242
Legenda,Legend,1985,69,7237
Dyskretny urok burżuazji,Le charme discret de la bourgeoisie,1972,79,7232
Zdążyć przed północą,Midnight Run,1988,74,7238
Pojedynek na szosie,Duel,1971,76,7237
Mississippi w ogniu,Mississippi Burning,1988,78,7230
Gdzie serce twoje,Where The Heart Is,2000,70,7228
Jackass 2.5,,2007,70,7231
